datetime open high low close turnover/amount(index)
1998-11-05 1237.54 1253.31 1237.51 1253.28 6348039500
1998-11-06 1258.69 1267.39 1257.17 1259.77 9123308300
1998-11-09 1263.96 1283.11 1263.96 1283.11 7894014000
1998-11-10 1283.92 1288.74 1275.19 1286.56 7131539000
1998-11-11 1287.42 1288.34 1278.47 1286.20 6595376100
1998-11-12 1286.56 1295.06 1278.94 1282.99 6660339100
1998-11-13 1281.99 1285.92 1271.32 1282.51 5548211200
1998-11-16 1284.33 1293.76 1281.59 1293.74 5945615900
1998-11-17 1296.63 1300.15 1285.02 1290.59 5622580900
1998-11-18 1291.00 1292.93 1281.59 1285.50 5112591400
1998-11-19 1283.96 1284.14 1274.08 1275.60 5251532600
1998-11-20 1272.66 1279.38 1271.66 1275.36 4577253700
1998-11-23 1275.90 1278.08 1269.09 1273.79 4267048500
1998-11-24 1274.45 1282.93 1274.41 1278.92 4090663400
1998-11-25 1280.27 1283.96 1262.23 1263.84 3856932800
1998-11-26 1260.08 1262.78 1247.83 1252.82 3934525400
1998-11-27 1252.36 1259.04 1242.57 1245.08 3662602100
1998-11-30 1244.92 1247.42 1238.14 1247.42 3274811200
1998-12-01 1249.01 1251.86 1232.00 1234.35 3147626800
1998-12-02 1233.16 1236.97 1222.65 1236.97 3004046700
1998-12-03 1238.29 1239.26 1229.84 1232.51 3305679000
1998-12-04 1232.43 1234.63 1213.56 1219.20 3159102800
1998-12-07 1234.76 1237.69 1207.76 1209.54 2649864600
1998-12-08 1209.83 1223.33 1209.81 1223.26 2179788700
1998-12-09 1224.35 1225.99 1219.01 1224.08 1963065200
1998-12-10 1224.15 1224.93 1203.07 1204.64 2562549900
1998-12-11 1201.84 1214.24 1194.07 1214.21 2215137700
1998-12-14 1214.59 1214.67 1194.66 1196.30 2058674100
1998-12-15 1193.64 1194.89 1173.92 1194.83 2376442400
1998-12-16 1194.94 1195.55 1180.85 1183.06 1816286900
1998-12-17 1180.17 1180.17 1158.51 1160.08 2452256800
